,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
6031,213020003.0,Indiana University of Pennsylvania-Main Campus,FREEPORT,PA,6110.0,7725.0,15.0,0.0,10.0,,3.0,,0.0,,1741.0,1883.0,9.0,0.0,454.0,134.0,0.0,0.0,1068.0,1854.0,0.0,0.0,4006.0,6432.0,,,897.0,1057.0,,,2653.0,3574.0,,,19635.0,28534.0,,,,,,,
6032,213020004.0,Indiana University of Pennsylvania-Main Campus,Pittsburgh,PA,6110.0,7725.0,,,,,,,,,4051.0,4928.0,0.0,0.0,2194.0,3910.0,0.0,0.0,1161.0,1969.0,0.0,0.0,4006.0,6432.0,,,690.0,799.0,,,2653.0,3574.0,,,19635.0,28534.0,,,,,,,
6033,213020005.0,Indiana University of Pennsylvania-Main Campus,Harrisburg,PA,6110.0,7725.0,0.0,0.0,,,,,,,3.0,81.0,2.0,0.0,1948.0,3077.0,0.0,0.0,716.0,1718.0,0.0,0.0,4006.0,6432.0,0.0,0.0,6512.0,8388.0,0.0,0.0,2636.0,3705.0,0.0,0.0,19635.0,28534.0,,,,,,,
6034,213163001.0,Jameson Health System,NEW CASTLE,PA,9.0,45.0,,,,,,,,,1.0,22.0,,,1948.0,3077.0,,,716.0,1718.0,,,4006.0,6432.0,,,6512.0,8388.0,0.0,0.0,7.0,53.0,,,19635.0,28534.0,,,,,,,
6035,213181001.0,Great Lakes Institute of Technology,ERIE,PA,25.0,356.0,4.0,0.0,,,,,,,1474.0,2096.0,1.0,0.0,1970.0,2695.0,0.0,0.0,716.0,1718.0,0.0,0.0,753.0,941.0,0.0,0.0,6512.0,8388.0,,,37.0,199.0,,,19635.0,28534.0,,,,,,,
6036,213181002.0,Great Lakes Institute of Technology,Erie,PA,25.0,356.0,2.0,0.0,2.0,,0.0,,0.0,,728.0,1475.0,3.0,0.0,80.0,582.0,0.0,0.0,1442.0,1475.0,1.0,0.0,92.0,56.0,0.0,0.0,1708.0,2640.0,1.0,0.0,22.0,204.0,,,4776.0,7507.0,,,4533.0,5302.0,,,
6037,213215001.0,Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes-Barre,PA,11.0,126.0,2.0,0.0,2.0,,2.0,,0.0,,3588.0,4390.0,2.0,0.0,52.0,0.0,0.0,0.0,1536.0,1933.0,0.0,0.0,1459.0,2355.0,,,1708.0,2640.0,,,22.0,204.0,1.0,0.0,1042.0,2132.0,0.0,0.0,,,1.0,0.0,
6038,213233001.0,Johnson College,SCRANTON,PA,345.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.0,4390.0,1.0,0.0,2356.0,2894.0,1.0,0.0,655.0,1082.0,0.0,0.0,1926.0,3534.0,,,1708.0,2640.0,,,22.0,204.0,,,1042.0,2132.0,,,,,,,
6039,213251001.0,Juniata College,HUNTINGDON,PA,700.0,883.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,26.0,110.0,,,941.0,1086.0,,,655.0,1082.0,,,1926.0,3534.0,,,1708.0,2640.0,,,22.0,204.0,0.0,0.0,1042.0,2132.0,0.0,0.0,476.0,659.0,0.0,0.0,
604,114813002.0,Fresno Pacific University,Fresno,CA,1031.0,2311.0,,,0.0,,0.0,,0.0,,10.0,146.0,0.0,0.0,2774.0,3060.0,0.0,0.0,1117.0,2236.0,0.0,0.0,1583.0,1978.0,,,509.0,1032.0,0.0,0.0,417.0,1209.0,0.0,0.0,102.0,46.0,0.0,0.0,7.0,0.0,0.0,0.0,
